#kx	 ky	 value	 error
-3.141592653589793	 -3.141592653589793	 0.2828082668510529	 0.003941462450812705
-3.043417883165112	 -3.141592653589793	 0.2821525448269098	 0.00409447712207797
-2.945243112740431	 -3.141592653589793	 0.28178460219407886	 0.003927113376156368
-2.84706834231575	 -3.141592653589793	 0.27529355338948336	 0.003828215674154201
-2.748893571891069	 -3.141592653589793	 0.2726768657770325	 0.00388445985887121
-2.650718801466388	 -3.141592653589793	 0.26865101350158493	 0.0038094259989060555
-2.552544031041707	 -3.141592653589793	 0.2636438149931295	 0.003728960734836898
-2.454369260617026	 -3.141592653589793	 0.2548079140789094	 0.0037167879357893883
-2.356194490192345	 -3.141592653589793	 0.24756448995050023	 0.003564311183863925
-2.2580197197676637	 -3.141592653589793	 0.2493177991403835	 0.003554478386209765
-2.1598449493429825	 -3.141592653589793	 0.24528513235179183	 0.003351630815905127
-2.061670178918302	 -3.141592653589793	 0.2304686409664103	 0.0031600185749902504
-1.9634954084936207	 -3.141592653589793	 0.22083219961546233	 0.003048189403983417
-1.8653206380689396	 -3.141592653589793	 0.20951007383012704	 0.0028654803521028565
-1.7671458676442586	 -3.141592653589793	 0.19775887071331252	 0.0028188767767617544
-1.6689710972195777	 -3.141592653589793	 0.18344139591464653	 0.002603326744187039
-1.5707963267948966	 -3.141592653589793	 0.18056861774168687	 0.002629699921862002
-1.4726215563702154	 -3.141592653589793	 0.16006830976531727	 0.002361419030996748
-1.3744467859455345	 -3.141592653589793	 0.14271415941371102	 0.0019185832765180413
-1.2762720155208536	 -3.141592653589793	 0.13070618306721768	 0.0019061185914551638
-1.1780972450961724	 -3.141592653589793	 0.12042318319980237	 0.001737605214368019
-1.0799224746714913	 -3.141592653589793	 0.10306598914948123	 0.0015007723531368653
-0.9817477042468103	 -3.141592653589793	 0.08762053429885201	 0.001174294354686673
-0.8835729338221293	 -3.141592653589793	 0.0738878119748915	 0.0010745830063176012
-0.7853981633974483	 -3.141592653589793	 0.060800587310771585	 0.0008465723364916316
-0.6872233929727672	 -3.141592653589793	 0.04763715206701421	 0.0006656427574769989
-0.5890486225480862	 -3.141592653589793	 0.03594774656273183	 0.00048354875621164385
-0.4908738521234052	 -3.141592653589793	 0.02574321960173545	 0.00035919433064724506
-0.39269908169872414	 -3.141592653589793	 0.016672605748227817	 0.00023070782540333075
-0.2945243112740431	 -3.141592653589793	 0.009470753151953937	 0.00013214388166293996
-0.19634954084936207	 -3.141592653589793	 0.004369487085680041	 6.0514378522541636e-5
-0.09817477042468103	 -3.141592653589793	 0.0010801956063839755	 1.5151126304996375e-5
0.0	 -3.141592653589793	 7.645718636552061e-6	 1.2641572275164188e-7
0.09817477042468103	 -3.141592653589793	 0.0010801956063839755	 1.5151126304996375e-5
0.19634954084936207	 -3.141592653589793	 0.004369487085680041	 6.0514378522541636e-5
0.2945243112740431	 -3.141592653589793	 0.009470753151953937	 0.00013214388166293996
0.39269908169872414	 -3.141592653589793	 0.016672605748227817	 0.00023070782540333075
0.4908738521234052	 -3.141592653589793	 0.02574321960173545	 0.00035919433064724506
0.5890486225480862	 -3.141592653589793	 0.03594774656273183	 0.00048354875621164385
0.6872233929727672	 -3.141592653589793	 0.04763715206701421	 0.0006656427574769989
0.7853981633974483	 -3.141592653589793	 0.060800587310771585	 0.0008465723364916316
0.8835729338221293	 -3.141592653589793	 0.0738878119748915	 0.0010745830063176012
0.9817477042468103	 -3.141592653589793	 0.08762053429885201	 0.001174294354686673
1.0799224746714913	 -3.141592653589793	 0.10306598914948123	 0.0015007723531368653
1.1780972450961724	 -3.141592653589793	 0.12042318319980237	 0.001737605214368019
1.2762720155208536	 -3.141592653589793	 0.13070618306721768	 0.0019061185914551638
1.3744467859455345	 -3.141592653589793	 0.14271415941371102	 0.0019185832765180413
1.4726215563702154	 -3.141592653589793	 0.16006830976531727	 0.002361419030996748
1.5707963267948966	 -3.141592653589793	 0.18056861774168687	 0.002629699921862002
1.6689710972195777	 -3.141592653589793	 0.18344139591464653	 0.002603326744187039
1.7671458676442586	 -3.141592653589793	 0.19775887071331252	 0.0028188767767617544
1.8653206380689396	 -3.141592653589793	 0.20951007383012704	 0.0028654803521028565
1.9634954084936207	 -3.141592653589793	 0.22083219961546233	 0.003048189403983417
2.061670178918302	 -3.141592653589793	 0.2304686409664103	 0.0031600185749902504
2.1598449493429825	 -3.141592653589793	 0.24528513235179183	 0.003351630815905127
2.2580197197676637	 -3.141592653589793	 0.2493177991403835	 0.003554478386209765
2.356194490192345	 -3.141592653589793	 0.24756448995050023	 0.003564311183863925
2.454369260617026	 -3.141592653589793	 0.2548079140789094	 0.0037167879357893883
2.552544031041707	 -3.141592653589793	 0.2636438149931295	 0.003728960734836898
2.650718801466388	 -3.141592653589793	 0.26865101350158493	 0.0038094259989060555
2.748893571891069	 -3.141592653589793	 0.2726768657770325	 0.00388445985887121
2.84706834231575	 -3.141592653589793	 0.27529355338948336	 0.003828215674154201
2.945243112740431	 -3.141592653589793	 0.28178460219407886	 0.003927113376156368
3.043417883165112	 -3.141592653589793	 0.2821525448269098	 0.00409447712207797
3.141592653589793	 -3.141592653589793	 0.2828082668510529	 0.003941462450812705

-3.141592653589793	 -3.043417883165112	 0.27915284681829006	 0.0039318790153799466
-3.043417883165112	 -3.043417883165112	 0.2806261788535622	 0.003947421566634967
-2.945243112740431	 -3.043417883165112	 0.27745018360893137	 0.0039053683029431027
-2.84706834231575	 -3.043417883165112	 0.27030600243359	 0.0038924289608851404
-2.748893571891069	 -3.043417883165112	 0.27290162209040786	 0.0038595735923810273
-2.650718801466388	 -3.043417883165112	 0.2687434868355725	 0.0038205606436831395
-2.552544031041707	 -3.043417883165112	 0.267660410599978	 0.00376766226671491
-2.454369260617026	 -3.043417883165112	 0.26432716497477315	 0.003713417137987052
-2.356194490192345	 -3.043417883165112	 0.26385984759743764	 0.003738934433825864
-2.2580197197676637	 -3.043417883165112	 0.2515661979405117	 0.003506279630104745
-2.1598449493429825	 -3.043417883165112	 0.24354469529363562	 0.003459845005222923
-2.061670178918302	 -3.043417883165112	 0.22983646504850885	 0.0031928684146103276
-1.9634954084936207	 -3.043417883165112	 0.2200779999661539	 0.003103774858711398
-1.8653206380689396	 -3.043417883165112	 0.21329954388159403	 0.0029924782480826298
-1.7671458676442586	 -3.043417883165112	 0.2084125171528484	 0.002923756217150692
-1.6689710972195777	 -3.043417883165112	 0.19603779577344388	 0.0027393891285887725
-1.5707963267948966	 -3.043417883165112	 0.18067778393322995	 0.0026313726699165704
-1.4726215563702154	 -3.043417883165112	 0.16745456168395986	 0.00235315945540729
-1.3744467859455345	 -3.043417883165112	 0.15125479464122527	 0.002027979343829541
-1.2762720155208536	 -3.043417883165112	 0.13849553602978454	 0.0019108861302224273
-1.1780972450961724	 -3.043417883165112	 0.12169152065163955	 0.0016969456341531504
-1.0799224746714913	 -3.043417883165112	 0.10708490795267046	 0.0015081795548043204
-0.9817477042468103	 -3.043417883165112	 0.09114564520188458	 0.0012494655814715388
-0.8835729338221293	 -3.043417883165112	 0.07919535462808408	 0.0011076146599419462
-0.7853981633974483	 -3.043417883165112	 0.06397408343357827	 0.0008890784028955068
-0.6872233929727672	 -3.043417883165112	 0.05030228581631818	 0.0007217998092685565
-0.5890486225480862	 -3.043417883165112	 0.03778339673820072	 0.0005291093683036826
-0.4908738521234052	 -3.043417883165112	 0.027229823364819522	 0.00038744184031553697
-0.39269908169872414	 -3.043417883165112	 0.017538004687857076	 0.000246548557652504
-0.2945243112740431	 -3.043417883165112	 0.010127678088285503	 0.0001426463627949108
-0.19634954084936207	 -3.043417883165112	 0.004652261490076768	 6.301752770847738e-5
-0.09817477042468103	 -3.043417883165112	 0.0011319283154108608	 1.5577903484803627e-5
0.0	 -3.043417883165112	 8.054323320019601e-6	 1.3553303389883638e-7
0.09817477042468103	 -3.043417883165112	 0.0011319283154108608	 1.5577903484803627e-5
0.19634954084936207	 -3.043417883165112	 0.004652261490076768	 6.301752770847738e-5
0.2945243112740431	 -3.043417883165112	 0.010127678088285503	 0.0001426463627949108
0.39269908169872414	 -3.043417883165112	 0.017538004687857076	 0.000246548557652504
0.4908738521234052	 -3.043417883165112	 0.027229823364819522	 0.00038744184031553697
0.5890486225480862	 -3.043417883165112	 0.03778339673820072	 0.0005291093683036826
0.6872233929727672	 -3.043417883165112	 0.05030228581631818	 0.0007217998092685565
0.7853981633974483	 -3.043417883165112	 0.06397408343357827	 0.0008890784028955068
0.8835729338221293	 -3.043417883165112	 0.07919535462808408	 0.0011076146599419462
0.9817477042468103	 -3.043417883165112	 0.09114564520188458	 0.0012494655814715388
1.0799224746714913	 -3.043417883165112	 0.10708490795267046	 0.0015081795548043204
1.1780972450961724	 -3.043417883165112	 0.12169152065163955	 0.0016969456341531504
1.2762720155208536	 -3.043417883165112	 0.13849553602978454	 0.0019108861302224273
1.3744467859455345	 -3.043417883165112	 0.15125479464122527	 0.002027979343829541
1.4726215563702154	 -3.043417883165112	 0.16745456168395986	 0.00235315945540729
1.5707963267948966	 -3.043417883165112	 0.18067778393322995	 0.0026313726699165704
1.6689710972195777	 -3.043417883165112	 0.19603779577344388	 0.0027393891285887725
1.7671458676442586	 -3.043417883165112	 0.2084125171528484	 0.002923756217150692
1.8653206380689396	 -3.043417883165112	 0.21329954388159403	 0.0029924782480826298
1.9634954084936207	 -3.043417883165112	 0.2200779999661539	 0.003103774858711398
2.061670178918302	 -3.043417883165112	 0.22983646504850885	 0.0031928684146103276
2.1598449493429825	 -3.043417883165112	 0.24354469529363562	 0.003459845005222923
2.2580197197676637	 -3.043417883165112	 0.2515661979405117	 0.003506279630104745
2.356194490192345	 -3.043417883165112	 0.26385984759743764	 0.003738934433825864
2.454369260617026	 -3.043417883165112	 0.26432716497477315	 0.003713417137987052
2.552544031041707	 -3.043417883165112	 0.267660410599978	 0.00376766226671491
2.650718801466388	 -3.043417883165112	 0.2687434868355725	 0.0038205606436831395
2.748893571891069	 -3.043417883165112	 0.27290162209040786	 0.0038595735923810273
2.84706834231575	 -3.043417883165112	 0.27030600243359	 0.0038924289608851404
2.945243112740431	 -3.043417883165112	 0.27745018360893137	 0.0039053683029431027
3.043417883165112	 -3.043417883165112	 0.2806261788535622	 0.003947421566634967
3.141592653589793	 -3.043417883165112	 0.27915284681829006	 0.0039318790153799466

-3.141592653589793	 -2.945243112740431	 0.27358767871692175	 0.00375622661082019
-3.043417883165112	 -2.945243112740431	 0.2802181192753194	 0.003739294424068523
-2.945243112740431	 -2.945243112740431	 0.2796497347470117	 0.0039051126372932395
-2.84706834231575	 -2.945243112740431	 0.2775724056928103	 0.0037007594838956784
-2.748893571891069	 -2.945243112740431	 0.2770454370586708	 0.003797627228782023
-2.650718801466388	 -2.945243112740431	 0.2747572287669568	 0.003727153330033131
-2.552544031041707	 -2.945243112740431	 0.2737507714420445	 0.003833143605423753
-2.454369260617026	 -2.945243112740431	 0.26843723679522113	 0.0037872577935594374
-2.356194490192345	 -2.945243112740431	 0.2599362922532599	 0.003544596635471252
-2.2580197197676637	 -2.945243112740431	 0.2532530566515153	 0.003436282647681475
-2.1598449493429825	 -2.945243112740431	 0.24604882961542004	 0.0033915348031481767
-2.061670178918302	 -2.945243112740431	 0.2408447536795218	 0.0033038658243495036
-1.9634954084936207	 -2.945243112740431	 0.2364742133440577	 0.0032624353760199016
-1.8653206380689396	 -2.945243112740431	 0.22176156323570123	 0.003195003075501801
-1.7671458676442586	 -2.945243112740431	 0.2092533162544728	 0.0028485762958749944
-1.6689710972195777	 -2.945243112740431	 0.19854989290921402	 0.002828198019465822
-1.5707963267948966	 -2.945243112740431	 0.1877489059549583	 0.002643362704241914
-1.4726215563702154	 -2.945243112740431	 0.1751371920336725	 0.002430506623419425
-1.3744467859455345	 -2.945243112740431	 0.16123823671189105	 0.0022648017067055663
-1.2762720155208536	 -2.945243112740431	 0.14532949758133043	 0.00205914597211813
-1.1780972450961724	 -2.945243112740431	 0.12898406564537557	 0.0017574951257935667
-1.0799224746714913	 -2.945243112740431	 0.11292122976738239	 0.0016561632288565919
-0.9817477042468103	 -2.945243112740431	 0.09893667655071584	 0.0013703061297338029
-0.8835729338221293	 -2.945243112740431	 0.0824260589399036	 0.0011898114957051371
-0.7853981633974483	 -2.945243112740431	 0.0692408484977877	 0.000975899845070758
-0.6872233929727672	 -2.945243112740431	 0.05361330728701006	 0.0007593132068049953
-0.5890486225480862	 -2.945243112740431	 0.041215902115327004	 0.0005814083356424053
-0.4908738521234052	 -2.945243112740431	 0.02828084878025481	 0.0004052277331774026
-0.39269908169872414	 -2.945243112740431	 0.01895963475727114	 0.0002682551780293315
-0.2945243112740431	 -2.945243112740431	 0.01042502547879892	 0.0001403282437081705
-0.19634954084936207	 -2.945243112740431	 0.004870197645318028	 6.866542688252539e-5
-0.09817477042468103	 -2.945243112740431	 0.0012327715300374203	 1.6919054850716043e-5
0.0	 -2.945243112740431	 8.646677526396435e-6	 1.4023414974777794e-7
0.09817477042468103	 -2.945243112740431	 0.0012327715300374203	 1.6919054850716043e-5
0.19634954084936207	 -2.945243112740431	 0.004870197645318028	 6.866542688252539e-5
0.2945243112740431	 -2.945243112740431	 0.01042502547879892	 0.0001403282437081705
0.39269908169872414	 -2.945243112740431	 0.01895963475727114	 0.0002682551780293315
0.4908738521234052	 -2.945243112740431	 0.02828084878025481	 0.0004052277331774026
0.5890486225480862	 -2.945243112740431	 0.041215902115327004	 0.0005814083356424053
0.6872233929727672	 -2.945243112740431	 0.05361330728701006	 0.0007593132068049953
0.7853981633974483	 -2.945243112740431	 0.0692408484977877	 0.000975899845070758
0.8835729338221293	 -2.945243112740431	 0.0824260589399036	 0.0011898114957051371
0.9817477042468103	 -2.945243112740431	 0.09893667655071584	 0.0013703061297338029
1.0799224746714913	 -2.945243112740431	 0.11292122976738239	 0.0016561632288565919
1.1780972450961724	 -2.945243112740431	 0.12898406564537557	 0.0017574951257935667
1.2762720155208536	 -2.945243112740431	 0.14532949758133043	 0.00205914597211813
1.3744467859455345	 -2.945243112740431	 0.16123823671189105	 0.0022648017067055663
1.4726215563702154	 -2.945243112740431	 0.1751371920336725	 0.002430506623419425
1.5707963267948966	 -2.945243112740431	 0.1877489059549583	 0.002643362704241914
1.6689710972195777	 -2.945243112740431	 0.19854989290921402	 0.002828198019465822
1.7671458676442586	 -2.945243112740431	 0.2092533162544728	 0.0028485762958749944
1.8653206380689396	 -2.945243112740431	 0.22176156323570123	 0.003195003075501801
1.9634954084936207	 -2.945243112740431	 0.2364742133440577	 0.0032624353760199016
2.061670178918302	 -2.945243112740431	 0.2408447536795218	 0.0033038658243495036
2.1598449493429825	 -2.945243112740431	 0.24604882961542004	 0.0033915348031481767
2.2580197197676637	 -2.945243112740431	 0.2532530566515153	 0.003436282647681475
2.356194490192345	 -2.945243112740431	 0.2599362922532599	 0.003544596635471252
2.454369260617026	 -2.945243112740431	 0.26843723679522113	 0.0037872577935594374
2.552544031041707	 -2.945243112740431	 0.2737507714420445	 0.003833143605423753
2.650718801466388	 -2.945243112740431	 0.2747572287669568	 0.003727153330033131
2.748893571891069	 -2.945243112740431	 0.2770454370586708	 0.003797627228782023
2.84706834231575	 -2.945243112740431	 0.2775724056928103	 0.0037007594838956784
2.945243112740431	 -2.945243112740431	 0.2796497347470117	 0.0039051126372932395
3.043417883165112	 -2.945243112740431	 0.2802181192753194	 0.003739294424068523
3.141592653589793	 -2.945243112740431	 0.27358767871692175	 0.00375622661082019

-3.141592653589793	 -2.84706834231575	 0.2761909539751555	 0.0038153666275337456
-3.043417883165112	 -2.84706834231575	 0.27966222699733934	 0.003797746412568598
-2.945243112740431	 -2.84706834231575	 0.2694290206825832	 0.003826142763654634
-2.84706834231575	 -2.84706834231575	 0.27477271400586867	 0.0037762860355959283
-2.748893571891069	 -2.84706834231575	 0.28078578951908784	 0.0038169805412685788
-2.650718801466388	 -2.84706834231575	 0.27012875757288307	 0.0038090033532448254
-2.552544031041707	 -2.84706834231575	 0.2767637412281545	 0.00392618067449375
-2.454369260617026	 -2.84706834231575	 0.2673855999792291	 0.0038975166677374024
-2.356194490192345	 -2.84706834231575	 0.2670994853849236	 0.00367402237921156
-2.2580197197676637	 -2.84706834231575	 0.2681027720061565	 0.0036085035212307204
-2.1598449493429825	 -2.84706834231575	 0.2565389299049496	 0.003464733845293665
-2.061670178918302	 -2.84706834231575	 0.2443263219131211	 0.0034263865861832794
-1.9634954084936207	 -2.84706834231575	 0.24679066323661672	 0.00358092311127637
-1.8653206380689396	 -2.84706834231575	 0.23191984369268046	 0.0031570773148910597
-1.7671458676442586	 -2.84706834231575	 0.22328094692386186	 0.003138340195362615
-1.6689710972195777	 -2.84706834231575	 0.2099995384586744	 0.0028639708814449864
-1.5707963267948966	 -2.84706834231575	 0.19277155714250838	 0.0026173062686532375
-1.4726215563702154	 -2.84706834231575	 0.18299214444647013	 0.0025815778620394223
-1.3744467859455345	 -2.84706834231575	 0.16467789413694317	 0.0022666701118180437
-1.2762720155208536	 -2.84706834231575	 0.14855438181590194	 0.0021043393211521485
-1.1780972450961724	 -2.84706834231575	 0.13825497916721505	 0.0019674358084003606
