#time	 wave_number	 pxxdata	 pxxdata_err	 pyydata	 pyydata_err	 pxydata	 pxydata_err
100.0	 0.0	 3.855833425952118e7	 25333.399706202923	 3.855790263875063e7	 25339.737946927624	 34.496722911593665	 0.0776599381529768
100.0	 0.09817477042468103	 77.19015754569386	 0.11400503211082377	 76.9282257104151	 0.11190366061944546	 33.338314250086526	 0.05134990963377654
100.0	 0.19634954084936207	 47.943602636734354	 0.0740180886571445	 47.99072250027877	 0.07488036521287614	 32.192862339726794	 0.05052861683909782
100.0	 0.2945243112740431	 38.20526477858203	 0.058205987119215555	 38.20190124483231	 0.0586672230955481	 31.08806269018945	 0.048387354642224385
100.0	 0.39269908169872414	 34.143254536057384	 0.05448733435435276	 34.177087084655284	 0.053144336732718914	 30.135958481660452	 0.047257612019956714
100.0	 0.4908738521234052	 31.72829055596382	 0.049627209216477196	 31.76188974145048	 0.050417085027693154	 29.190369497384854	 0.046665145941351856
100.0	 0.5890486225480862	 30.182661626753983	 0.04819242109210095	 30.147460865637512	 0.048980602288797595	 28.381259934739457	 0.045505687052959515
100.0	 0.6872233929727672	 28.991375915496562	 0.04517338772297433	 28.987105410976913	 0.045687888100446286	 27.686997442689087	 0.04337010836497602
100.0	 0.7853981633974483	 27.954513502546025	 0.04614571470542558	 27.96178577710327	 0.04582422951331648	 26.939148968262362	 0.04445966347620043
100.0	 0.8835729338221293	 27.21254139186281	 0.04193190896666571	 27.202014486062286	 0.04177819386134811	 26.401741953020686	 0.04090762094035321
100.0	 0.9817477042468103	 26.55612098144867	 0.04205542552872002	 26.564352522790422	 0.042666497152363966	 25.9023060980036	 0.04126777471508945
100.0	 1.0799224746714913	 25.823582621994472	 0.03907360789327829	 25.827106499784836	 0.038951115244024996	 25.28898517826148	 0.03826099404139844
100.0	 1.1780972450961724	 25.34335463865467	 0.038193583819889354	 25.337974220561716	 0.03800154701038956	 24.867822542091282	 0.03753251909603326
100.0	 1.2762720155208536	 24.912900957151926	 0.0379902286916026	 24.911217772977736	 0.03791430677442844	 24.51962996957491	 0.03733171812243828
100.0	 1.3744467859455345	 24.43908214711557	 0.03711162654157939	 24.427025222671617	 0.03702970541848727	 24.084834965185692	 0.03693098634875923
100.0	 1.4726215563702154	 24.01639444203474	 0.03693351161176748	 24.017716619030978	 0.03689910348649746	 23.712936538279482	 0.03646933360952341
100.0	 1.5707963267948966	 23.776739763843686	 0.03649629856063218	 23.774423620793232	 0.036735152973878284	 23.50439573707969	 0.03634101320608807
100.0	 1.6689710972195777	 23.407434106520906	 0.035043898311860285	 23.415669283122355	 0.03542985558245735	 23.177675005639518	 0.03487572994950368
100.0	 1.7671458676442586	 23.186189655585167	 0.035348089450523056	 23.186531973503833	 0.0352284478243367	 22.97007663617049	 0.03507389745005212
100.0	 1.8653206380689396	 22.999126371768416	 0.035162381929188975	 22.98635988847411	 0.035258655825716814	 22.794773855864612	 0.03495327365431634
100.0	 1.9634954084936207	 22.738846510956552	 0.03435167016000425	 22.730698589871213	 0.034451103853644756	 22.558725866906528	 0.034066704057326806
100.0	 2.061670178918302	 22.645605639855045	 0.03415992616322419	 22.64161499901418	 0.03390271818875194	 22.478984301833474	 0.03405097581574595
100.0	 2.1598449493429825	 22.553841776954545	 0.03483835750314152	 22.553450472363892	 0.035034172324222686	 22.398756830380503	 0.034854481980390394
100.0	 2.2580197197676637	 22.496351590272827	 0.03427692397904777	 22.49817254836903	 0.034417500986588245	 22.35803303513211	 0.03423647758468977
100.0	 2.356194490192345	 22.41049007745104	 0.03296628162496486	 22.410494815838437	 0.03270492148986984	 22.284213920453627	 0.032650558997679935
100.0	 2.454369260617026	 22.401322084033986	 0.03462745288999394	 22.404565553873915	 0.03457324939543221	 22.282021089968207	 0.03447457498120104
100.0	 2.552544031041707	 22.42106569397791	 0.03406661574441256	 22.420257190930418	 0.034167507531881774	 22.301738000330335	 0.033811486814897665
100.0	 2.650718801466388	 22.47556754882522	 0.033884568721370814	 22.478523237940298	 0.03403282430158577	 22.37112183778963	 0.03365604436140412
100.0	 2.748893571891069	 22.56322453206856	 0.03425980017092816	 22.562180963637946	 0.03417438409831258	 22.460079169003002	 0.03403807856550941
100.0	 2.84706834231575	 22.678115327577665	 0.03440667611138982	 22.6751582798959	 0.03444842833528798	 22.579573471684064	 0.03425739408814172
100.0	 2.945243112740431	 22.751632796794947	 0.034292355556998985	 22.75472272218244	 0.03425083429128569	 22.658122794043027	 0.03413356092082382
100.0	 3.043417883165112	 22.932675629307486	 0.03468942772524493	 22.93262910917539	 0.03460381453179909	 22.84227910956867	 0.03450488594972421
100.0	 3.141592653589793	 23.04850773945298	 0.033127399596514694	 23.054286463157602	 0.033257669416355974	 22.966076150727794	 0.03309098493929819
100.0	 3.2397674240144743	 23.236231736629875	 0.035312376236763324	 23.241552529136353	 0.03527219180581106	 23.16082174840071	 0.03520734758769188
100.0	 3.3379421944391554	 23.434473368040095	 0.035040570671373894	 23.43663983799492	 0.034975808456457466	 23.358458173372682	 0.03487439771105267
100.0	 3.436116964863836	 23.56889727312023	 0.0342660197178076	 23.570359233286084	 0.034385181406565525	 23.49513763962034	 0.0341899185078475
100.0	 3.5342917352885173	 23.67024318884512	 0.033884925041905725	 23.67220321123223	 0.033833798070457825	 23.60002964449353	 0.033794250104140805
100.0	 3.6324665057131984	 23.839320300348597	 0.036293088749881	 23.840770645335358	 0.036325906957956566	 23.772598854486834	 0.03624123093573017
